iter	Passed	Remaining
0	0	30
1	0	28
2	0	30
3	1	28
4	1	29
5	1	29
6	2	29
7	2	28
8	2	28
9	3	28
10	3	27
11	3	27
12	4	27
13	4	26
14	4	26
15	4	25
16	5	25
17	5	25
18	5	25
19	6	24
20	6	24
21	6	24
22	7	23
23	7	23
24	7	23
25	8	22
26	8	22
27	8	22
28	9	22
29	9	22
30	9	21
31	10	21
32	10	20
33	10	20
34	11	20
35	11	20
36	11	19
37	11	19
38	12	19
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	17
45	14	16
46	14	16
47	14	16
48	15	16
49	15	15
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	17	13
57	18	13
58	18	13
59	19	13
60	20	13
61	20	12
62	21	12
63	21	12
64	21	11
65	22	11
66	22	11
67	22	10
68	23	10
69	23	10
70	23	9
71	24	9
72	24	9
73	25	8
74	25	8
75	25	8
76	26	7
77	26	7
78	26	7
79	27	6
80	27	6
81	27	6
82	28	5
83	28	5
84	28	5
85	29	4
86	29	4
87	29	4
88	30	3
89	30	3
90	30	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	34	0
98	34	0
99	34	0
