iter	Passed	Remaining
0	1	1344
1	1	860
2	2	793
3	2	678
4	3	610
5	3	572
6	3	557
7	4	543
8	4	518
9	5	498
10	5	480
11	5	475
12	6	461
13	6	450
14	6	443
15	7	439
16	7	431
17	7	424
18	8	425
19	8	420
20	8	415
21	9	412
22	9	408
23	10	413
24	10	413
25	10	408
26	11	405
27	11	401
28	11	396
29	12	395
30	12	396
31	13	395
32	13	393
33	13	389
34	14	386
35	14	384
36	14	384
37	15	382
38	15	381
39	15	379
40	16	379
41	16	379
42	17	378
43	17	376
44	17	374
45	18	374
46	18	372
47	18	371
48	19	370
49	19	367
50	19	366
51	19	364
52	20	363
53	20	363
54	21	361
55	21	359
56	21	358
57	21	357
58	22	355
59	22	355
60	23	354
61	23	352
62	23	351
63	23	350
64	24	349
65	24	349
66	25	350
67	25	349
68	25	348
69	26	348
70	26	348
71	26	347
72	27	345
73	27	345
74	27	345
75	28	345
76	28	344
77	29	344
78	29	344
79	29	344
80	30	343
81	30	341
82	30	339
83	30	337
84	31	337
85	31	337
86	32	336
87	32	336
88	32	337
89	33	337
90	33	337
91	34	336
92	34	335
93	34	335
94	35	334
95	35	333
96	35	333
97	36	332
98	36	332
99	36	331
100	37	330
101	37	329
102	37	329
103	38	328
104	38	328
105	39	329
106	39	330
107	40	331
108	40	330
109	40	330
110	41	330
111	41	331
112	42	331
113	42	330
114	42	330
115	43	329
116	43	329
117	43	328
118	44	328
119	44	327
120	45	327
121	45	326
122	45	326
123	46	325
124	46	324
125	46	324
126	47	323
127	47	322
128	47	322
129	48	321
130	48	320
131	48	320
132	49	320
133	49	319
134	49	318
135	50	318
136	50	317
137	50	316
138	51	317
139	51	317
140	52	317
141	52	315
142	52	315
143	52	314
144	53	314
145	53	313
146	53	313
147	54	312
148	54	311
149	54	311
150	55	311
151	55	311
152	56	311
153	56	311
154	57	310
155	57	310
156	57	309
157	57	309
158	58	308
159	58	307
160	58	306
161	59	306
162	59	306
163	60	306
164	60	305
165	60	305
166	61	304
167	61	303
168	61	303
169	62	302
170	62	302
171	62	302
172	63	302
